index,image,annotator,description
9,cuhk03/image=01_set=1_id=0009.png,rab,"A slim girl, probably an Asian with dark long hair. She is wearing a light coloured, three quarter sleeve shirt and a pair of dark coloured pants. She is holding a pink coloured bag in her left shoulder. She sports a pair of dark colour shoes, probably a canvas."
10,cuhk03/image=01_set=1_id=0010.png,rab,"A profile of a medium build man, probably an Asian in his early thirties. He is wearing a red or orange t-shirt with half sleeves and a pair of dark colour pants. He is holding a backpack with a water bottle in it. He is wearing a pair of brown or white sports shoes."
11,cuhk03/image=01_set=1_id=0011.png,rab,"A boy, probably in his teens, walking with a girl. He looks like an Asian, with dark coloured shjort hair. He is wearing a dark grey or black coloured t-shirt with a pair of grey coloured pants. He is holding a backpack on his back and is wearing a metallic bracelet or watch in his left arm. It looks like he is checking on his phone using his left hand."
12,cuhk03/image=01_set=1_id=0012.png,rab,"A very slim and tall boy, probably an Asian in his early twenties. He has dark short hair. He is wearing a grey coloured t-shirt, probably a sweatshirt with a hoodie and full sleeves. he is holding a beige coloured cross-body bag on his right shoulder and a cup of coffee or coca cola in his left hand. He sports a pair of khaki coloured shoes and a pair of brown or magenta coloured pants."
13,cuhk03/image=01_set=1_id=0013.png,rab,"A slim, tall man, probably an Asian in his forties, with dark short hair. He is wearing a white or some light colour shirt with half sleeves. He wears a pair of dark coloured pants and a pair of dark coloured shoes. He is holding something in his right hand which is not very clear."
14,cuhk03/image=01_set=1_id=0014.png,rab,"A slim, tall girl, probably an Asian with a dark short hair with a small pony tail. She is wearing a pair of black framed spectacles. She wears an off white or beige coloured full sleeve shirt with the sleeves folded above her elbows. She is wearing a pair of dark coloured pants and a pair of grey coloured shoes with red coloured laces on it."
15,cuhk03/image=01_set=1_id=0015.png,rab,"A tall man, slim build, probably an Asian with dark short hair. He is wearing a white coloured t-shirt with half sleeves. He wears a pair of grey coloured pants. He appears to be wearing a pair of spectacles."
16,cuhk03/image=01_set=1_id=0016.png,rab,"A profile of a slim man, probably an Asian. He has dark short hair. He appears to be wearing a pair of spectacles. He wears a polo t-shirt with a pair of grey coloured jeans. His t-shirt has white and black horizontal stripes on it. He is wearing a pair of white colour shoes."
17,cuhk03/image=01_set=1_id=0017.png,rab,"A tall man, probably an Asian, slim and middle-aged, appears to be in his late forties. He has a grey short hair and he is wearing a pair of spectacles. He wears a pink colour collared shirt with full sleeves, buttoned with a pair of black or brown colour pants. He is wearing a pair of black or brown colour shoes. He is holding something in his left arm, probably a book or a cd pack."
18,cuhk03/image=01_set=1_id=0018.png,rab,"A teenage boy, probably an Asian in his late teens, with dark short hair. He is wearing a pair of spectacles. He is holding a backpack on his back and he appears to be wearing a black colour watch in his left arm. He is wearing a white colour printed t-shirt and a pair of light coloured pants. His shoes are white and are probably a pair of sports shoes."
19,cuhk03/image=01_set=1_id=0019.png,rab,"A middle aged man, probably an Asian with a slim build and slightly grey hair. He is wearing a white colour collared shirt with half sleeves and a pair of black colour pants. He appears to be wearing a pair of black colour shoes."
20,cuhk03/image=01_set=1_id=0020.png,rab,"A very slim teenage boy, an Asian, probably in his late teens, with dark short hair. He is wearing a pair of spectacles and a black colour watch in his left arm. He is wearing an yellow coloured, round-neck t-shirt with half sleeves with a pair of grey coloured pants. He is holding a black coloured cross-body bag. His shoes are also black in colour."
21,cuhk03/image=01_set=1_id=0021.png,rab,"A profile of a man, probably Asian, slim build, in his late twenties. He has dark short hair. He appears to be wearing a pair of sunglasses. He is wearing a pink colour polo neck t-shirt with half sleeves and a pair of grey colour pants. His shoes are brown in colour."
22,cuhk03/image=01_set=1_id=0022.png,rab,"A profile of a tall, slim man, probably an Asian in his late twenties. He has dark short hair. He is wearing a black colour shirt with white colour broad checks on it. His shirt's full sleeves are folded up to his elbows. He is wearing a pair of black coloured pants with a pair of black coloured shoes."
23,cuhk03/image=01_set=1_id=0023.png,rab,"A slim, tall man, probably an Asian in his middle twenties. He has dark short hair and he is wearing a pair of spectacles. He is wearing a white colour shirt with full sleeves and a pair of black colour pants. He appears to be wearing a metallic watch in his left arm and a pair of black colour shoes."
24,cuhk03/image=01_set=1_id=0024.png,rab,"A slim, man, probably an Asian in his early twenties. He has dark short hair and he is holding a white or beige colour bag on his left shoulder. He is wearing a t-shirt with stripes on it, and a pair of grey colour pants. He is wearing a watch in his left arm."
25,cuhk03/image=01_set=1_id=0025.png,rab,"A tall, slim, man, probably an Asian in his middle twenties. He has dark short hair and he appears to be wearing a pair of spectacles. He is wearing a grey polo t-shirt with half sleeves, and a pair of black colour pants. He is wearing a pair of dark colour shoes."
26,cuhk03/image=01_set=1_id=0026.png,rab,"A girl, probably an Asian with dark long hair and she wears a pair of spectacles. She is wearing a black colour jacket and a pair of beige colour pants. She is wearing a golden colour bracelet or watch on her left wrist and is holding a bag, probably a leather hand bag, on her right shoulder."
27,cuhk03/image=01_set=1_id=0027.png,rab,"A slim, tall man, probably an Asian in his late twenties. His hair is short and dark. He is wearing a pair of spectacles and a metallic watch on his left arm. He is wearing a black or charcoal colour t-shirt with multicolored prints on it. He is wearing a pair of dark colored pants and a pair of dark coloured shoes. He is holding a backpack on his right shoulder."
28,cuhk03/image=01_set=1_id=0028.png,rab,"A slim girl with dark long hair, probably an Asian in her late teens, wearing a blue coloured t-shirt and pair of black coloured jeans. She is holding her mobile phone in her right arm and it looks like she has an earphone in her right ear, connected to her mobile phone, probably listening to music. She is wearing a pair of black shoes."
29,cuhk03/image=01_set=1_id=0029.png,rab,"A slim man, probably an Asian in his early twenties, with dark short hair, wearing a pair of sunglasses. He is wearing a multicoloured t-shirt, probably a grey and yellow mixed t-shirt with a pair of brown colour pants. He is holding a multicoloured bag on his left shoulder. He is wearing a pair of black coloured shoes."
30,cuhk03/image=01_set=1_id=0030.png,rab,"A medium build man, probably an Asian in his early thirties. He has dark short hair. He is wearing a pair of white framed sunglasses. he is holding a backpack on his back and is wearing a white or beige coloured t-shirt with a pair of blue coloured jeans. He is also wearing a pair of white coloured shoes."
31,cuhk03/image=01_set=1_id=0031.png,rab,"A slim, tall man, probably an Asian in is late twenties with dark short hair. He appears to be wearing spectacles and he is holding a backpack on his back. He is wearing a dark blue t-shirt with half sleeves with a pair of black coloured track pants. He is wearing a pair of black or grey sports shoes, probably an Adidas."
32,cuhk03/image=01_set=1_id=0032.png,rab,"A slim man, probably an Asian in his early twenties. He is wearing spectacles and is holding his mobile phone in his right hand. He is wearing a brown coloured polo t-shirt with a pair of dark coloured pants. He is holding something in his left side pocket in his pants. His shoes are brown."
33,cuhk03/image=01_set=1_id=0033.png,rab,"A slim, tall boy in his late teens, probably an Asian with dark short hair. He is wearing a pair of spectacles and is holding a long black cross-body bag, probably a laptop bag. He is wearing a grey or white coloured sweatshirt with a hoodie and a pair of grey coloured shorts. He is wearing a pair of brown or black coloured sandals."
34,cuhk03/image=01_set=1_id=0034.png,rab,"A slim man, probably an Asian in his middle twenties, with long dark hair. He is wearing a pair of spectacles and is holding a white colour cross-body sling bag with two dark colour vertical stripes on it. He appears to be wearing a white colour t-shirt with a pair of white colour shorts."
35,cuhk03/image=01_set=1_id=0035.png,rab,"A middle aged woman, slim build, probably an Asian in her forties. She has dark short hair and she is wearing a metallic watch on her right wrist and a black bracelet on her left wrist. She is wearing a white colour t-shirt with black colour prints on it and a pair of black colour pants. She is holding a brown colour cross-body sling bag and is wearing a pair of brown colour shoes."
36,cuhk03/image=01_set=1_id=0036.png,rab,"A slim build woman, probably an Asian in her middle twenties. She has dark short hair. She is wearing a black colour polo t-shirt with white colour full hand sleeves. She is wearing a pair of black colour pants and a pair of black colour shoes. She is holding a violet colour sling bag, probably a cross-body bag."
37,cuhk03/image=01_set=1_id=0037.png,rab,"A tall man with fair skin tone and white and brown hair, probably in his fifties. He is wearing a grey colour polo t-shirt with half sleeves with a pair of dark colour pants. He is holding a polythene bag, probably a food pack."
38,cuhk03/image=01_set=1_id=0038.png,rab,"A slim man, probably an Asian in his early twenties. He has dark short hair. He is wearing a dark grey coloured jacket with a hoodie on it. He is wearing a pair of black coloured shorts and a pair of red and black coloured slippers."
39,cuhk03/image=01_set=1_id=0039.png,rab,"A slim, tall girl, probably an Asian in her early twenties. She has a long dark hair and she is wearing a pony tail. She is wearing a brown or black colour sweater or a coat with a pair of dark grey colour pants. She is wearing a pair of black colour shoes. She is holding something in her hand, probably a book or a file."
40,cuhk03/image=01_set=1_id=0040.png,rab,"A slim woman, probably an Asian in her early thirties. She has long dark hair. She is wearing a white colour, short sleeve t-shirt with multicolour prints on it. She is wearing a short skirt and a pair of beige colour shoes. She is holding a blue colour back pack and wearing watch on her left wrist."
41,cuhk03/image=01_set=1_id=0041.png,rab,"A slim girl, probably an Asian in her early twenties. She has dark long hair. She is wearing a red or maroon colour hoodie jacket with a pair of grey colour jeans. She is holding a backpack on her back and is wearing a pair of light colour shoes."
42,cuhk03/image=01_set=1_id=0042.png,rab,"A slim girl, probably an Asian in her late teens. She has long dark hair. She is wearing a grey colour t-shirt with short sleeves and a pair of black colour jeans. She also wears a pair of grey colour sandals. She is holding an orange colour backpack with something clinging on it, probably a teddy bear doll."
43,cuhk03/image=01_set=1_id=0043.png,rab,"A profile of a slim, tall man, probably an Asian in his middle twenties. He has short dark hair. He is wearing a pair of spectacles with dark coloured frames. He is wearing a black coloured t-shirt with a pair of grey coloured pants. He is holding a black coloured bag on his right shoulder, probably a laptop bag. His shoes are black in colour with white soles."
44,cuhk03/image=01_set=1_id=0044.png,rab,"A middle aged man, probably an Asian in his late forties. He has short grey hair. He is wearing a pair of spectacles. He wears a black polo t-shirt with three white stripes on it, probably an Adidas. He wears a pair of grey colour pants. His shoes look like they are black in colour."
45,cuhk03/image=01_set=1_id=0045.png,rab,"A slim, tall girl, probably an Asian in her early twenties. She has long dark hair and she is wearing a pair of spectacles. She is wearing a white and black checked coat with a pair of black coloured pants and black coloured shoes. She carries a black colour backpack on her back."
46,cuhk03/image=01_set=1_id=0046.png,rab,"An old man, probably in his early sixties with half bald head and grey hair. He is wearing a light colour shirt with full sleeves and a pair of dark colour pants. He is wearing a pair of black colour shoes."
47,cuhk03/image=01_set=1_id=0047.png,rab,"A slim man, possibly an Asian in his middle twenties. He has short dark hair. He is wearing a grey colour t-shirt and a pair of grey colour jeans. He is wearing a pair of black colour shoes."
48,cuhk03/image=01_set=1_id=0048.png,rab,"A slim girl with fair skin tone, probably an Asian in her early twenties. She has dark long hair, she is wearing a pony tail. She is wearing a black t-shirt with full sleeves and a pair of blue coloured jeans. She is wearing a pair of black or brown coloured shoes. She is holding a black or magenta coloured backpack."
49,cuhk03/image=01_set=1_id=0049.png,rab,"A slim built man, probably an Asian in his middle twenties. He has dark short hair. He is wearing a grey colour full sleeve shirt with his sleeves folded up to somewhere near his elbows. He is wearing a pair of dark colour pants and a pair of multi-colour shoes. He is holding a black colour backpack on his right shoulder, probably a laptop bag."
50,cuhk03/image=01_set=1_id=0050.png,rab,"A very slim, teenage boy, possibly an Asian in his late teens. He is wearing a pair of spectacles and he has short dark hair. He is wearing a green coloured t-shirt with prints on it. And a pair of grey colour shorts. He is wearing a pair of sports shoes, white in colour. He appears to be wearing a watch on his left wrist."
51,cuhk03/image=01_set=1_id=0051.png,rab,"A slim boy, possibly an Asian in his teenage, with short dark hair. He is wearing a pair of spectacles. He is wearing a white t-shirt with prints on it. And a pair of dark grey coloured jeans. He appears to be wearing a pair of black coloured shoes."
52,cuhk03/image=01_set=1_id=0052.png,rab,"A medium build man, probably an Asian in his early thirties. He has dark short hair. He appears to be wearing spectacles. He is wearing a black colour t-shirt with white colour prints on it. He is wearing a pair of black colour shorts with a pair of black colour sandals."
53,cuhk03/image=01_set=1_id=0053.png,rab,"A slim, tall girl, probably an Asian in her early twenties. She has dark long hair. She is wearing a beige top with a grey colour jacket on it. She wears a pair of black colour jeans with grey colour boots. She is wearing a pink colour bracelet or watch on her left wrist. She is holding a hand bag on her right shoulder and is smiling."
54,cuhk03/image=01_set=1_id=0054.png,rab,"A tall, slim girl with dark long hair, wearing a black colour t-shirt with a grey colour short skirt and a pair of black colour stockings. She is wearing a golden colour watch on her left wrist and a pair of black colour shoes. She is holding a white and black hand bag with horizontal stripes on it."
55,cuhk03/image=01_set=1_id=0055.png,rab,"A slim boy, probably an Asian in late teens. He has short dark hair. He is wearing a black colour t-shirt with a pair of grey colour jeans. He is wearing a pair of white colour sports shoes. He is holding a backpack on his back with a water bottle in it."
56,cuhk03/image=01_set=1_id=0056.png,rab,"A tall , medium build girl, probably an Asian in her early twenties. She has a short, dark hair. She is wearing a black colour t-shirt with a pair of grey colour shorts. She is wearing a pair of multicolored shoes, probably mixed with red, black and green. She is holding a red colour backpack on her back and probably, a mobile phone in her right hand."
57,cuhk03/image=01_set=1_id=0057.png,rab,"A slim, tall man, probably an Asian in his middle twenties. He has short dark hair. He is wearing a pair of sunglasses and he is holding his mobile phone on his left hand. He is wearing a blue colour shirt with half sleeves and a pair of grey colour shorts. He is wearing a pair of black colour loafers."
58,cuhk03/image=01_set=1_id=0058.png,rab,"A tall, slim man, probably an Asian in his early twenties. He has dark short hair. He is wearing spectacles and he is holding something in his hand, probably a letter or enveloper cover. He is wearing a multi-colour polo t-shirt with colours such as blue, white, black and red on it. The t-shirt has horizontal stripes. He is wearing a pair of dark colour pants with dark colour shoes."
59,cuhk03/image=01_set=1_id=0059.png,rab,"A slim, tall boy, probably an Asian in his late teens. He has dark short hair. He is wearing a sportswear, a red colour sports t-shirt with a pair of black colour shorts. He is holding something in his hand, probably his jacket. He is wearing a pair of white colour sports shoes. He is holding a cross-body bag on his left shoulder."
60,cuhk03/image=01_set=1_id=0060.png,rab,"A tall, slim man, probably an Asian in his late twenties. He has short, slightly greyed hair. He is wearing a red colour t-shirt with half sleeves and a pair of white colour shorts. He is holding something in his left hand, probably a racket."
61,cuhk03/image=01_set=1_id=0061.png,rab,"A slim, tall boy, probably an Asian in his late teens. He has short dark hair. He is wearing a yellow colour t-shirt with half sleeves and a pair of black colour track pants with white stripe on it. He is wearing a pair of white colour shoes."
62,cuhk03/image=01_set=1_id=0062.png,rab,"A medium build woman, probably an Asian in her middle twenties. She has dark long hair with a pony tail. She is wearing a grey or white colour top with a black colour short skirt. She is wearing a pair of white colour shoes. She is holding a white colour hand bag with multi colour polka dots on it."
63,cuhk03/image=01_set=1_id=0063.png,rab,"A slim, tall girl, probably an Asian in her early twenties. She has long dark hair. She is wearing a grey colour jacket with hoodie. And a pair of grey colour shorts. She is wearing a pair of black and red shoes. She is holding a black colour bag on her left shoulder."
64,cuhk03/image=01_set=1_id=0064.png,rab,"A slim boy, probably an Asian in his early twenties. He has short dark hair. He is wearing a black full sleeve t-shirt with a pair of white colour pants. He is wearing a pair of red or brown colour shoes."
65,cuhk03/image=01_set=1_id=0065.png,rab,"A girl, probably an Asian in her middle twenties. She has short, brown hair. She is wearing a red t-shirt with a pair of grey colour pants. She is wearing a pair of pink colour sandals. She is holding something in her left hand, probably a mobile phone."
66,cuhk03/image=01_set=1_id=0066.png,rab,"A slim boy, probably an Asian in his late teens. He has short dark hair. He is wearing a pair of spectacles. He is wearing a green colour t-shirt with white colour horizontal stripes on it. He is wearing a pair of dark colour pants. He is holding a black colour backpack."
67,cuhk03/image=01_set=1_id=0067.png,rab,"A slim, tall boy, probably an Asian in his late teens. He is wearing spectacles. He has dark short hair. He is wearing a grey colour jacket with hoodie and a pair of grey colour pants. He is wearing a pair of white colour shoes. He is holding a set of files and books in his hands."
68,cuhk03/image=01_set=1_id=0068.png,rab,"A slim girl, probably an Asian in her early twenties. She has long dark hair. She is wearing a red full sleeve shirt with a pair of black pants. She is holding a hand bag on her right shoulder. She is wearing a pair of white colour shoes. She is holding something in her hands, probably her jacket."
69,cuhk03/image=01_set=1_id=0069.png,rab,"A slim build girl, probably an Asian in her early twenties. She has long dark hair. She appears to be wearing spectacles. She is wearing a white colour t-shirt with yellow or green colour full sleeves on it. She is wearing a pair of black colour pants and a pair of black shoes. She is holding her mobile phone in her right hand and a set of books or files in her left hand."
70,cuhk03/image=01_set=1_id=0070.png,rab,"A slim man, probably an Asian in his early twenties. He has short dark hair. He is wearing a white shirt with full sleeves with a pair of black colour pants. He is wearing a pair of brown colour shoes. He is holding a white colour bag in his right hand."
71,cuhk03/image=01_set=1_id=0071.png,rab,"A slim boy, probably an Asian in his late teens. He is wearing a pair of sunglasses. He has short dark hair. He is wearing a white t-shirt with long sleeves with a pair of beige colour pants. He is wearing a pair of red or white shoes. He is holding a black colour backpack."
72,cuhk03/image=01_set=1_id=0072.png,rab,"A medium build man, probably in his late twenties. He wears a red t-shirt with a pair of grey colour shorts. He is wearing a pair of black colour sandals. He is holding a black colour backpack."
73,cuhk03/image=01_set=1_id=0073.png,rab,"A girl, probably an Asian in her middle twenties. She has long dark hair. She is wearing a black colour top and a pair of black colour pants with black colour boots. She is holding a red colour bag on her right shoulder."
74,cuhk03/image=01_set=1_id=0074.png,rab,"A girl, probably speaking on her mobile phone, probably an Asian in her early twenties. She has dark long hair. She is wearing a black top with a grey short skirt. And a pair of black stockings. She is wearing a pair of brown colour boots. She is holding a red colour bag on her right shoulder."
75,cuhk03/image=01_set=1_id=0075.png,rab,"A medium build man, probably an Asian is his early twenties. He has short dark hair. He is wearing a grey colour sweatshirt with a pair of blue colour shorts. He is wearing a pair of black colour slippers."
76,cuhk03/image=01_set=1_id=0076.png,rab,"A medium build woman, probably an Asian in her late thirties. She has short dark hair. She is wearing a white colour jacket with a pair of white colour pants and a pair of white colour shoes."
77,cuhk03/image=01_set=1_id=0077.png,rab,"A slim build man, probably an Asian in his early twenties. He has dark short hair. He is wearing a white colour polo t-shirt with a pair of beige colour pants. He is wearing a pair of white colour slippers. He is holding something in his right hand, probably a set of files."
78,cuhk03/image=01_set=1_id=0078.png,rab,"A tall, medium build woman, probably an Asian in her middle twenties. He has dark long hair. She is wearing a white colour top with a pair of blue colour jeans. She is holding a backpack on her back. She is holding something in her left hand, probably a mobile phone or some papers."
79,cuhk03/image=01_set=1_id=0079.png,rab,"A slim boy, probably an Asian in his teenage. He has short dark hair. He is wearing a green colour t-shirt with a pair of grey colour jeans. He is wearing a pair of black or grey colour shoes. He is holding a backpack on his back."
80,cuhk03/image=01_set=1_id=0080.png,rab,"A tall, medium build woman, probably an Asian in her middle twenties. She has long dark hair. She is wearing a light blue shirt with a black short skirt. SHe is wearing a red or brown colour sandals. She is holding a black colour hand bag in her right hand."
81,cuhk03/image=01_set=1_id=0081.png,rab,"A short, slim girl, probably an Asian in her early twenties. She has long dark hair. She is wearing a maroon colour t-shirt with a pair of grey colour pants, and a pair of brown colour leather boots. She is holding a pink colour hand bag on her right shoulder. She is holding something in her left hand, probably a shopping bag."
82,cuhk03/image=01_set=1_id=0082.png,rab,"A slim woman, probably an Asian in her late thirties. She has short dark hair. She is wearing a grey colour jacket and a pair of black colour pants. She is holding a handbag in her left hand."
83,cuhk03/image=01_set=1_id=0083.png,rab,"A short, slim boy, probably an Asian in his late teens. He has short dark hair. He is wearing a black colour polo t-shirt with full sleeves and a pair of black colour pants. He is wearing a pair of green colour shoes. He is holding a backpack on his back. He is holding something in his hands, probably a mobile phone."
84,cuhk03/image=01_set=1_id=0084.png,rab,"A short, slim girl, probably an Asian in her late teens. She has long dark hair. She is wearing a white top with a black jacket and with a pair of blue skinny jeans. She is wearing a pair of red or brown shoes. She is holding something in her right hand, probably her hand bag."
85,cuhk03/image=01_set=1_id=0085.png,rab,"A short, slim girl, probably an Asian in her early twenties. She has long dark hair. She is wearing a white t-shirt with a pair of black pants. She is wearing a pair of pink colour shoes. She is holding shopping bags in her left hand and a backpack on her back."
86,cuhk03/image=01_set=1_id=0086.png,rab,"A short, slim girl, probably an Asian in her early twenties. She has short dark hair. She is wearing a blue jacket and a pair of dark coloured pants. She is wearing a pair of red colour wedges. She is holding something in her right hand, probably a tablet or a mobile phone."
87,cuhk03/image=01_set=1_id=0087.png,rab,"A tall, slim girl, probably an Asian in her middle twenties. She has dark long hair. She is wearing a dark grey coloured long winter coat with a pair of black coloured stockings. She is holding a shoulder bag on her right shoulder."
88,cuhk03/image=01_set=1_id=0088.png,rab,"A thin, tall girl, with a long brown coloured hair. She is wearing a black jacket on a grey striped top. She is wearing a pair of grey capri pants. She is wearing a pair of black shoes. She is holding something in her hand, probably a blue colour sheet or file or blue colour cloth."
89,cuhk03/image=01_set=1_id=0089.png,rab,"A fit Asian girl, probably in her early twenties with long dark hair. She is wearing a white short-sleeve t-shirt with a pair of dark blue shorts. She is wearing a pair of red slippers. She is holding a shoulder bag on her right shoulder. She is holding a set of files in her right hand and she appears to be holding her mobile phone in her left hand."
90,cuhk03/image=01_set=1_id=0090.png,rab,"A medium build short man, with dark coloured short hair. He is wearing a grey colour t-shirt with black colour half sleeves. He is wearing a pair of grey or white colour shorts. He is wearing a pair of white colour shoes with 3 red stripes on it, probably an Adidas. He is holding a backpack."
91,cuhk03/image=01_set=1_id=0091.png,rab,"A very tall, well built woman, with long dark hair. She is wearing a pink coloured shirt with full sleeves and a pair of grey colour shorts. She is wearing a pair of white and red shoes. She is holding a brown or orange backpack on her back. She is holding her mobile phone in her hands."
92,cuhk03/image=01_set=1_id=0092.png,rab,"A dark skinned man, medium build, probably an Asian in his early thirties. He has dark short hair. He is wearing a red t-shirt with white letters on it. He is wearing a pair of grey colour pants. He is holding a cross-body sling bag on his shoulder. He is holding something in his left hand, probably a food pack."
93,cuhk03/image=01_set=1_id=0093.png,rab,"A fat boy, probably an Asian in his early twenties. He appears to be wearing spectacles. He has short dark hair. He is wearing a long and big grey coloured jacket with a pair of grey colour pants and grey colour shoes."
94,cuhk03/image=01_set=1_id=0094.png,rab,"A thin, tall girl with long dark hair, probably an Asian in her early twenties. She is wearing a pink long sleeve top, with a pair of black leggings. She is wearing a pair of brown or green colour shoes. She is holding her orange or red colour hand bag on her left shoulder."
95,cuhk03/image=01_set=1_id=0095.png,rab,"A tall, slim man, probably an Asian in his early twenties. He is wearing spectacles and he has dark short hair. He is wearing yellow colour t-shirt with a pair of grey colour pants. He is holding a backpack on his back. He is wearing a pair of black colour sandals."
96,cuhk03/image=01_set=1_id=0096.png,rab,"A tall man, probably an Asian in his late thirties. He has short dark hair, with some grey hair. He is wearing black t-shirt with a pair of beige pants. He is wearing a pair of white colour shoes and is holding a backpack on his left shoulder."
97,cuhk03/image=01_set=1_id=0097.png,rab,"A fat, short man, probably an Asian in his middle twenties. He has short dark hair. He is wearing spectacles. He is wearing a grey or blue shirt with full sleeves and a pair of black colour pants. He is holding a travel bag in his right hand."
98,cuhk03/image=01_set=1_id=0098.png,rab,"A skinny boy, probably an Asian in his early twenties. He has short dark hair. He is wearing red or brown colour framed spectacles. He is wearing a white t-shirt with a pair of grey pants. He is wearing a pair of white or grey shoes. He is holding a black backpack on his back and he is wearing a black watch or bracelet on his left wrist."
99,cuhk03/image=01_set=1_id=0099.png,rab,"A short, thin man, probably an Asian in his early twenties. He is wearing spectacles and his hair is short and dark. He is wearing a white or light blue shirt with a pair of grey pants. He is wearing a pair of blue and white shoes. He is holding something in his left hand, probably a bag with his jacket."
1,cuhk03/image=01_set=1_id=0001.png,kma,none
1359,cuhk03/image=01_set=3_id=0077.png,viya,none
100,cuhk03/image=01_set=1_id=0100.png,rab,"A fat woman, probably an Asian in her early thirties. She has short dark hair. She is wearing a brown or black colour solid t-shirt with a pair of grey pants. She is holding something in her right hand, probably a polythene bag or a glass jar."
1361,cuhk03/image=06_set=1_id=0002.png,viya,A man wearing a half sleeve olive green polo t-shirt. He looks tall and he has dark short hair. He is wearing a pair of light colour pants. He is not facing the camera.
1362,cuhk03/image=06_set=1_id=0003.png,viya,Tall and lean guy wearing spectacles. He has dark hair and his hair is short. He is wearing a half sleeve white colour shirt and a pair of blue colour jeans. He wears a pair of white colour shoes.
1363,cuhk03/image=06_set=1_id=0004.png,viya,"An image of a tall man, with his hands folded. His hair is short and dark. He is wearing eyeglasses and he is wearing a full sleeve shirt in white or grey colour. He is wearing a pair of black colour pants."
1364,cuhk03/image=06_set=1_id=0005.png,viya,The person appears to be an Asian with short hair and his hair is dark in colour. He is wearing a black t-shirt with a pair of black pants. He is wearing a pair of white shoes and he is holding a couple of shopping bags.
1365,cuhk03/image=06_set=1_id=0006.png,viya,"A tall, lean man with black colour short hair, he is wearing white t-shirt with a pair of black colour shorts. He is holding something in his right hand. And he is carrying a shoulder bag in his right shoulder."
1366,cuhk03/image=06_set=1_id=0007.png,viya,"An Asian, tall and skinny man, probably in his late twenties. He has a short hair and it is dark. He is wearing a black and white checked shirt with a pair of grey jeans. He is holding a polythene bag in his right hand, probably a food bag."
1367,cuhk03/image=06_set=1_id=0008.png,viya,"A medium build man, should be in his early thirties and an Asian. He wears a pair of eye glasses and is wearing a green colour t-shirt with a pair of grey pants. He is wearing a pair of red colour shoes."
1368,cuhk03/image=06_set=1_id=0009.png,viya,"A girl with long dark hair, wearing a grey colour jacket or shrug, with a pair of black colour pants. She is holding a pink colour shoulder bag on her left shoulder."
